token,lemma,pronoun_type
Metsamaa-taolistel,metsamaa-taoline,"('dem',)"
Metstaki-taoline,Metstaki-taoline,"('dem',)"
Mhz-ise,Mhz-ise,"('pos', 'det', 'refl')"
Mhõh.mis,Mhõh.mis,"('inter rel',)"
Mi-mina,Mi-mina,"('pers ps1',)"
MiDaGi,miski,"('indef',)"
MiNGI,mingi,"('indef',)"
MiNU,mina,"('pers ps1',)"
Mia-mis,Mia-mis,"('inter rel',)"
Mida,mis,"('inter rel',)"
Mida-keda,mida-kes,"('inter rel',)"
Mida-mida,mida-mis,"('inter rel',)"
Midagi,miski,"('indef',)"
Midagigi,miski,"('indef',)"
Mihuke,mihuke,"('inter rel',)"
Mihukese,mihuke,"('inter rel',)"
Mihukese,mihukene,"('inter rel',)"
Mihukesed,mihuke,"('inter rel',)"
Mihukesed,mihukene,"('inter rel',)"
Mihukesele,mihuke,"('inter rel',)"
Mihukesele,mihukene,"('inter rel',)"
Mihukeselt,mihuke,"('inter rel',)"
Mihukeselt,mihukene,"('inter rel',)"
Mil,mis,"('inter rel',)"
Mil-,mis,"('inter rel',)"
Milgi,mis,"('inter rel',)"
Mille,mis,"('inter rel',)"
Millede,mis,"('inter rel',)"
Millega,mis,"('inter rel',)"
Millegagi,miski,"('indef',)"
Millegi,miski,"('indef',)"
Milleks,mis,"('inter rel',)"
Millekski,miski,"('indef',)"
Millel,mis,"('inter rel',)"
Millele,mis,"('inter rel',)"
Millelegi,miski,"('indef',)"
Millelgi,miski,"('indef',)"
Millelt,mis,"('inter rel',)"
Millena,mis,"('inter rel',)"
Millenagi,miski,"('indef',)"
Milleni,mis,"('inter rel',)"
Milles,mis,"('inter rel',)"
Milleski,miski,"('indef',)"
Millesse,mis,"('inter rel',)"
Millessegi,miski,"('indef',)"
Millest,mis,"('inter rel',)"
Millest-kellest,millest-kes,"('inter rel',)"
Millestki,miski,"('indef',)"
Milleta,mis,"('inter rel',)"
Milline,milline,"('rel',)"
Millise,milline,"('rel',)"
Millised,milline,"('rel',)"
Millisega,milline,"('rel',)"
Milliseid,milline,"('rel',)"
Milliseile,milline,"('rel',)"
Milliseis,milline,"('rel',)"
Milliseks,milline,"('rel',)"
Millisel,milline,"('rel',)"
Millisele,milline,"('rel',)"
Milliselt,milline,"('rel',)"
Millisena,milline,"('rel',)"
Millises,milline,"('rel',)"
Millisesse,milline,"('rel',)"
Millisest,milline,"('rel',)"
Millist,milline,"('rel',)"
Milliste,milline,"('rel',)"
Millistega,milline,"('rel',)"
Millisteks,milline,"('rel',)"
Millistel,milline,"('rel',)"
Millistele,milline,"('rel',)"
Millistelt,milline,"('rel',)"
Millistena,milline,"('rel',)"
Millistes,milline,"('rel',)"
Millistesse,milline,"('rel',)"
Millistest,milline,"('rel',)"
Millleks,mis,"('inter rel',)"
Milllele,mis,"('inter rel',)"
Milllest,mis,"('inter rel',)"
Milllised,milline,"('rel',)"
Milt,mis,"('inter rel',)"
MinD,mina,"('pers ps1',)"
MinGiD,mingi,"('indef',)"
Mina,mina,"('pers ps1',)"
Mina-,mina,"('pers ps1',)"
Mina-mia-mina,Mina-mia-mina,"('pers ps1',)"
Mina-mina-mina,mina-mina-mina,"('pers ps1',)"
Mina-sina,mina-sina,"('pers ps2',)"
MinaSinaMina,MinaSinamina,"('pers ps1',)"
Minagi,mina,"('pers ps1',)"
Mind,mina,"('pers ps1',)"
Mindki,mina,"('pers ps1',)"
Mingeid,mingi,"('indef',)"
Mingi,mingi,"('indef',)"
Mingid,mingi,"('indef',)"
Mingidki,mingi,"('indef',)"
Mingiga,mingi,"('indef',)"
Mingigi,mingi,"('indef',)"
Mingiks,mingi,"('indef',)"
Mingikski,mingi,"('indef',)"
Mingil,mingi,"('indef',)"
Mingile,mingi,"('indef',)"
Mingilgi,mingi,"('indef',)"
Mingilt,mingi,"('indef',)"
Mingis,mingi,"('indef',)"
Mingisse,mingi,"('indef',)"
Mingist,mingi,"('indef',)"
Mingisugune,mingisugune,"('indef',)"
Mingisugunegi,mingisugune,"('indef',)"
Mingisuguse,mingisugune,"('indef',)"
Mingisugused,mingisugune,"('indef',)"
Mingisugusegi,mingisugune,"('indef',)"
Mingisuguseid,mingisugune,"('indef',)"
Mingisuguseidki,mingisugune,"('indef',)"
Mingisuguseks,mingisugune,"('indef',)"
Mingisugusel,mingisugune,"('indef',)"
Mingisugusele,mingisugune,"('indef',)"
Mingisuguses,mingisugune,"('indef',)"
Mingisugusest,mingisugune,"('indef',)"
Mingisugust,mingisugune,"('indef',)"
Mingisuguste,mingisugune,"('indef',)"
Mingisugustel,mingisugune,"('indef',)"
Mingisugustele,mingisugune,"('indef',)"
Mingisugustes,mingisugune,"('indef',)"
Mingisugustesse,mingisugune,"('indef',)"
Mingisugustest,mingisugune,"('indef',)"
Mingisugustki,mingisugune,"('indef',)"
Mingit,mingi,"('indef',)"
Mingite,mingi,"('indef',)"
Mingiteks,mingi,"('indef',)"
Mingitel,mingi,"('indef',)"
Mingitele,mingi,"('indef',)"
Mingites,mingi,"('indef',)"
Mingitesse,mingi,"('indef',)"
Mingitest,mingi,"('indef',)"
Mingitki,mingi,"('indef',)"
Mini-me,mini-mina,"('pers ps1',)"
Minu,mina,"('pers ps1',)"
Minuga,mina,"('pers ps1',)"
Minugagi,mina,"('pers ps1',)"
Minugi,mina,"('pers ps1',)"
Minuks,mina,"('pers ps1',)"
Minul,mina,"('pers ps1',)"
Minule,mina,"('pers ps1',)"
Minulegi,mina,"('pers ps1',)"
Minulgi,mina,"('pers ps1',)"
Minult,mina,"('pers ps1',)"
Minultki,mina,"('pers ps1',)"
Minuni,mina,"('pers ps1',)"
Minus,mina,"('pers ps1',)"
Minuski,mina,"('pers ps1',)"
Minusse,mina,"('pers ps1',)"
Minust,mina,"('pers ps1',)"
Minustki,mina,"('pers ps1',)"
Minusugune,minusugune,"('dem',)"
Minusuguse,minusugune,"('dem',)"
Minusugused,minusugune,"('dem',)"
Minusuguseid,minusugune,"('dem',)"
Minusugusel,minusugune,"('dem',)"
Minusugusele,minusugune,"('dem',)"
Minusuguses,minusugune,"('dem',)"
Minusugust,minusugune,"('dem',)"
Minusuguste,minusugune,"('dem',)"
Minusugustel,minusugune,"('dem',)"
Minusugustele,minusugune,"('dem',)"
Minusugustest,minusugune,"('dem',)"
Minuta,mina,"('pers ps1',)"
Minutagi,mina,"('pers ps1',)"
Minutaoline,minutaoline,"('dem',)"
Minutaolisi,minutaoline,"('dem',)"
Mir-me,Mir-mina,"('pers ps1',)"
Mis,mis,"('inter rel',)"
Mis-mis,mis-mis,"('inter rel',)"
Mishini-taolistele,Mishini-taoline,"('dem',)"
Mishka-teab-mis,Mishka-teab-mis,"('inter rel',)"
Miski,miski,"('indef',)"
Miskisugune,miskisugune,"('indef',)"
Miskisuguse,miskisugune,"('indef',)"
Miskisugused,miskisugune,"('indef',)"
Miskisugusel,miskisugune,"('indef',)"
Missugune,missugune,"('inter rel',)"
Missuguse,missugune,"('inter rel',)"
Missugused,missugune,"('inter rel',)"
Missugusega,missugune,"('inter rel',)"
Missuguseid,missugune,"('inter rel',)"
Missuguseks,missugune,"('inter rel',)"
Missugusel,missugune,"('inter rel',)"
Missugusele,missugune,"('inter rel',)"
Missuguselt,missugune,"('inter rel',)"
Missugusena,missugune,"('inter rel',)"
Missuguses,missugune,"('inter rel',)"
Missugusesse,missugune,"('inter rel',)"
Missugusest,missugune,"('inter rel',)"
Missugust,missugune,"('inter rel',)"
Missuguste,missugune,"('inter rel',)"
Missugusteks,missugune,"('inter rel',)"
Missugustel,missugune,"('inter rel',)"
Missugustele,missugune,"('inter rel',)"
Missugustelt,missugune,"('inter rel',)"
Missugustena,missugune,"('inter rel',)"
Missugustes,missugune,"('inter rel',)"
Missugustesse,missugune,"('inter rel',)"
Missugustest,missugune,"('inter rel',)"
Mistra-taolisest,Mistra-taoline,"('dem',)"
Misuke,misuke,"('dem',)"
Misukest,misuke,"('dem',)"
Misukest,misukene,"('dem',)"
Mitme,mitu,"('indef',)"
Mitmed,mitu,"('indef',)"
Mitmed-mitmed,mitmed-mitu,"('indef',)"
Mitmedki,mitu,"('indef',)"
Mitmega,mitu,"('indef',)"
Mitmegi,mitu,"('indef',)"
Mitmeid,mitu,"('indef',)"
Mitmeidki,mitu,"('indef',)"
Mitmeile,mitu,"('indef',)"
Mitmeisse,mitu,"('indef',)"
Mitmeks,mitu,"('indef',)"
Mitmel,mitu,"('indef',)"
Mitmel-mitmel,mitmel-mitu,"('indef',)"
Mitmele,mitu,"('indef',)"
Mitmelegi,mitu,"('indef',)"
Mitmelgi,mitu,"('indef',)"
Mitmelt,mitu,"('indef',)"
Mitmenda,mitmes,"('inter rel', 'indef')"
Mitmendad,mitmes,"('inter rel', 'indef')"
Mitmendaga,mitmes,"('inter rel', 'indef')"
Mitmendaid,mitmes,"('inter rel', 'indef')"
Mitmendaks,mitmes,"('inter rel', 'indef')"
Mitmendal,mitmes,"('inter rel', 'indef')"
Mitmendale,mitmes,"('inter rel', 'indef')"
Mitmendana,mitmes,"('inter rel', 'indef')"
Mitmendas,mitmes,"('inter rel', 'indef')"
Mitmendasse,mitmes,"('inter rel', 'indef')"
Mitmendast,mitmes,"('inter rel', 'indef')"
Mitmendat,mitmes,"('inter rel', 'indef')"
Mitmendiku,mitmendik,"('inter rel',)"
Mitmeni,mitu,"('indef',)"
Mitmes,mitmes,"('inter rel', 'indef')"
Mitmes,mitu,"('indef',)"
Mitmes-mitmes,mitmes-mitmes,"('inter rel', 'indef')"
Mitmes-mitmes,mitmes-mitu,"('indef',)"
Mitmes-setmes,mitu-setu,"('indef',)"
Mitmeski,mitmes,"('inter rel', 'indef')"
Mitmeski,mitu,"('indef',)"
Mitmesse,mitu,"('indef',)"
Mitmest,mitu,"('indef',)"
Mitmestki,mitu,"('indef',)"
Mitmesugune,mitmesugune,"('indef',)"
Mitmesuguse,mitmesugune,"('indef',)"
Mitmesugused,mitmesugune,"('indef',)"
Mitmesuguseid,mitmesugune,"('indef',)"
Mitmesugusel,mitmesugune,"('indef',)"
Mitmesugusest,mitmesugune,"('indef',)"
Mitmesugust,mitmesugune,"('indef',)"
Mitmesuguste,mitmesugune,"('indef',)"
Mitmesugusteks,mitmesugune,"('indef',)"
Mitmesugustel,mitmesugune,"('indef',)"
Mitmesugustele,mitmesugune,"('indef',)"
Mitmesugustelt,mitmesugune,"('indef',)"
Mitmesugustes,mitmesugune,"('indef',)"
Mitmesugustesse,mitmesugune,"('indef',)"
Mitmesugustest,mitmesugune,"('indef',)"
Mitmete,mitu,"('indef',)"
Mitmeteks,mitu,"('indef',)"
Mitmetel,mitu,"('indef',)"
Mitmetele,mitu,"('indef',)"
Mitmetelegi,mitu,"('indef',)"
Mitmetelgi,mitu,"('indef',)"
Mitmetelt,mitu,"('indef',)"
Mitmetes,mitu,"('indef',)"
Mitmeteski,mitu,"('indef',)"
Mitmetesse,mitu,"('indef',)"
Mitmetest,mitu,"('indef',)"
Mitte-spämminud-ei-ole-ma,Mitte-spämminud-ei-ole-mina,"('pers ps1',)"
Mitu,mitu,"('indef',)"
Mitu-mitu,mitu-mitu,"('indef',)"
Mitugi,mitu,"('indef',)"
Mitut,mitu,"('indef',)"
Mitut-setut,mitu-setu,"('indef',)"
Mitutki,mitu,"('indef',)"
Mmm-ma,Mmm-mina,"('pers ps1',)"
Mmm-mis,Mmm-mis,"('inter rel',)"
Mo-biil-su-seks,Mo-biil-su-see,"('dem',)"
Monroe-taolisi,Monroe-taoline,"('dem',)"
Mood-sa,mood-sina,"('pers ps2',)"
Mu,mina,"('pers ps1',)"
Mu-mul,mu-mina,"('pers ps1',)"
MuLle,mina,"('pers ps1',)"
Muga,mina,"('pers ps1',)"
Muid,muu,"('indef',)"
Muide-need,muide-see,"('dem',)"
Muidki,muu,"('indef',)"
Muil,muu,"('indef',)"
Muis,muu,"('indef',)"
Muist,muist,"('indef',)"
Muist,muu,"('indef',)"
Mul,mina,"('pers ps1',)"
Mul-,mina,"('pers ps1',)"
Mulgi,mina,"('pers ps1',)"
Mulle,mina,"('pers ps1',)"
Mulle-sulle,mulle-sina,"('pers ps2',)"
Mullegi,mina,"('pers ps1',)"
Mullle,mina,"('pers ps1',)"
Mult,mina,"('pers ps1',)"
Muresani-taolisele,Muresani-taoline,"('dem',)"
Mus,mina,"('pers ps1',)"
Mus-,mina,"('pers ps1',)"
Museu-mis,Museu-mis,"('inter rel',)"
Musi-ma,musi-mina,"('pers ps1',)"
Musse,mina,"('pers ps1',)"
Must,mina,"('pers ps1',)"
Must-,mina,"('pers ps1',)"
Musta-taolise,musta-taoline,"('dem',)"
Mustamäe-taolises,mustamäe-taoline,"('dem',)"
Muti-taoline,muti-taoline,"('dem',)"
Muu,muu,"('indef',)"
Muu-,muu,"('indef',)"
Muud,muu,"('indef',)"
Muude,muu,"('indef',)"
Muudega,muu,"('indef',)"
Muudegi,muu,"('indef',)"
Muudeks,muu,"('indef',)"
Muudel,muu,"('indef',)"
Muudele,muu,"('indef',)"
Muudelgi,muu,"('indef',)"
Muudelt,muu,"('indef',)"
Muudes,muu,"('indef',)"
Muudeski,muu,"('indef',)"
Muudesse,muu,"('indef',)"
Muudest,muu,"('indef',)"
Muudki,muu,"('indef',)"
Muuga,muu,"('indef',)"
Muugi,muu,"('indef',)"
Muuks,muu,"('indef',)"
Muul,muu,"('indef',)"
Muule,muu,"('indef',)"
Muuni,muu,"('indef',)"
Muus,muu,"('indef',)"
Muuski,muu,"('indef',)"
Muusse,muu,"('indef',)"
Muust,muu,"('indef',)"
Muuta,muu,"('indef',)"
Muuu,muu,"('indef',)"
Myllylä-taolisest,Myllylä-taoline,"('dem',)"
MÕLEMA,mõlema,"('det',)"
MÕLEMAD,mõlema,"('det',)"
MÕLEMAL,mõlema,"('det',)"
MÕLEMALE,mõlema,"('det',)"
MÕLEMALT,mõlema,"('det',)"
MÕLEMAS,mõlema,"('det',)"
MÕLEMAT,mõlema,"('det',)"
MÕND,mõni,"('indef',)"
MÕNDA,mõni,"('indef',)"
MÕNDA,mõni,"('indef',)"
MÕNDAGI,mõni,"('indef',)"
MÕNDAGI,mõni,"('indef',)"
MÕNE,mõni,"('indef',)"
MÕNED,mõni,"('indef',)"
MÕNEDKI,mõni,"('indef',)"
MÕNEKS,mõni,"('indef',)"
MÕNEL,mõni,"('indef',)"
MÕNELE,mõni,"('indef',)"
MÕNES,mõni,"('indef',)"
MÕNEST,mõni,"('indef',)"
MÕNI,mõni,"('indef',)"
MÕNIGI,mõni,"('indef',)"
MÕNINGAID,mõningas,"('indef',)"
MÕlemad,mõlema,"('det',)"
MÕned,mõni,"('indef',)"
MÕnede,mõni,"('indef',)"
MÕnel,mõni,"('indef',)"
MÕnele,mõni,"('indef',)"
MÕnes,mõni,"('indef',)"
MÕningase,mõningane,"('indef',)"
Mäe-omadele,mäe-oma,"('pos', 'det', 'refl')"
Mäetalu-taolistest,mäetalu-taoline,"('dem',)"
Mäherdune,mäherdune,"('indef', 'rel')"
Mäherduse,mäherdune,"('indef', 'rel')"
Mäherdused,mäherdune,"('indef', 'rel')"
Mäherdusi,mäherdune,"('indef', 'rel')"
Mälestu-sest,Mälestu-see,"('dem',)"
Mämm-mu,mämm-mina,"('pers ps1',)"
Mängi-me,mängi-mina,"('pers ps1',)"
MõLEMA,mõlema,"('det',)"
MõLEMAS,mõlema,"('det',)"
MõND,mõni,"('indef',)"
MõNE,mõni,"('indef',)"
MõNED,mõni,"('indef',)"
MõNES,mõni,"('indef',)"
MõNEST,mõni,"('indef',)"
MõNI,mõni,"('indef',)"
Mõi-sa,Mõi-sina,"('pers ps2',)"
Mõisa-taolise,mõisa-taoline,"('dem',)"
Mõistsin-sellisel,mõistsin-selline,"('dem',)"
Mõle-ma,Mõle-mina,"('pers ps1',)"
Mõlema,mõlema,"('det',)"
Mõlemad,mõlema,"('det',)"
Mõlemaga,mõlema,"('det',)"
Mõlemaid,mõlema,"('det',)"
Mõlemail,mõlema,"('det',)"
Mõlemais,mõlema,"('det',)"
Mõlemaks,mõlema,"('det',)"
Mõlemal,mõlema,"('det',)"
Mõlemale,mõlema,"('det',)"
Mõlemalt,mõlema,"('det',)"
Mõlemana,mõlema,"('det',)"
Mõlemas,mõlema,"('det',)"
Mõlemasse,mõlema,"('det',)"
Mõlemast,mõlema,"('det',)"
Mõlemat,mõlema,"('det',)"
Mõlemata,mõlema,"('det',)"
Mõlemate,mõlema,"('det',)"
Mõlematel,mõlema,"('det',)"
Mõlematele,mõlema,"('det',)"
Mõlemates,mõlema,"('det',)"
Mõnd,mõni,"('indef',)"
Mõnda,mõni,"('indef',)"
Mõnda,mõni,"('indef',)"
Mõndagi,mõni,"('indef',)"
Mõndagi,mõni,"('indef',)"
Mõndki,mõni,"('indef',)"
Mõne,mõni,"('indef',)"
Mõned,mõni,"('indef',)"
Mõnede,mõni,"('indef',)"
Mõnedega,mõni,"('indef',)"
Mõnedeks,mõni,"('indef',)"
Mõnedel,mõni,"('indef',)"
Mõnedele,mõni,"('indef',)"
Mõnedelt,mõni,"('indef',)"
Mõnedes,mõni,"('indef',)"
Mõnedesse,mõni,"('indef',)"
Mõnedest,mõni,"('indef',)"
Mõnedki,mõni,"('indef',)"
Mõnega,mõni,"('indef',)"
Mõnegi,mõni,"('indef',)"
Mõneks,mõni,"('indef',)"
Mõnel,mõni,"('indef',)"
Mõnele,mõni,"('indef',)"
Mõnelegi,mõni,"('indef',)"
Mõnelgi,mõni,"('indef',)"
Mõnelt,mõni,"('indef',)"
Mõneltki,mõni,"('indef',)"
Mõnes,mõni,"('indef',)"
Mõnesid,mõni,"('indef',)"
Mõneski,mõni,"('indef',)"
Mõnesse,mõni,"('indef',)"
Mõnessegi,mõni,"('indef',)"
Mõnest,mõni,"('indef',)"
Mõnestki,mõni,"('indef',)"
Mõnesugune,mõnesugune,"('indef',)"
Mõnesuguse,mõnesugune,"('indef',)"
Mõnesugused,mõnesugune,"('indef',)"
Mõnesuguseid,mõnesugune,"('indef',)"
Mõnesugusest,mõnesugune,"('indef',)"
Mõnesugust,mõnesugune,"('indef',)"
Mõnesugustel,mõnesugune,"('indef',)"
Mõni,mõni,"('indef',)"
Mõnigi,mõni,"('indef',)"
Mõninga,mõningas,"('indef',)"
Mõningad,mõningas,"('indef',)"
Mõningadki,mõningas,"('indef',)"
Mõningaid,mõningas,"('indef',)"
Mõningail,mõningas,"('indef',)"
Mõningais,mõningas,"('indef',)"
Mõningaist,mõningas,"('indef',)"
Mõningaks,mõningas,"('indef',)"
Mõningal,mõningas,"('indef',)"
Mõningale,mõningas,"('indef',)"
Mõningalt,mõningas,"('indef',)"
Mõningane,mõningane,"('indef',)"
Mõningas,mõningas,"('indef',)"
Mõningas,mõningas,"('indef',)"
Mõningase,mõningane,"('indef',)"
Mõningased,mõningane,"('indef',)"
Mõningaseks,mõningane,"('indef',)"
Mõningasele,mõningane,"('indef',)"
Mõningasest,mõningane,"('indef',)"
Mõningasi,mõningane,"('indef',)"
Mõningast,mõningane,"('indef',)"
Mõningast,mõningas,"('indef',)"
Mõningaste,mõningane,"('indef',)"
Mõningastest,mõningane,"('indef',)"
Mõningat,mõningas,"('indef',)"
Mõningate,mõningas,"('indef',)"
Mõningatega,mõningas,"('indef',)"
Mõningatel,mõningas,"('indef',)"
Mõningatele,mõningas,"('indef',)"
Mõningatelt,mõningas,"('indef',)"
Mõningates,mõningas,"('indef',)"
Mõningatesse,mõningas,"('indef',)"
Mõningatest,mõningas,"('indef',)"
Müü-me,müü-mina,"('pers ps1',)"
Müürsepa-taoline,müürsepa-taoline,"('dem',)"
Müürsepa-taolist,müürsepa-taoline,"('dem',)"
N-esimese,N-esimene,"('dem',)"
N-rüh-ma,N-rüh-mina,"('pers ps1',)"
NAD,tema,"('pers ps3',)"
NAF-TA,NAF-tema,"('pers ps3',)"
NE-SA,NE-sina,"('pers ps2',)"
NEED,see,"('dem',)"
NEID,see,"('dem',)"
NEID,tema,"('pers ps3',)"
NEIL,see,"('dem',)"
NEIL,tema,"('pers ps3',)"
NEILE,see,"('dem',)"
NEILE,tema,"('pers ps3',)"
NEIS,see,"('dem',)"
NEIS,tema,"('pers ps3',)"
NEIST,see,"('dem',)"
NEIST,tema,"('pers ps3',)"
NEMAD,tema,"('pers ps3',)"
NEMADKI,tema,"('pers ps3',)"
NENDE,see,"('dem',)"
NENDE,tema,"('pers ps3',)"
NENDEGA,see,"('dem',)"
NENDEGA,tema,"('pers ps3',)"
NENDEL,see,"('dem',)"
NENDEL,tema,"('pers ps3',)"
NENDELE,see,"('dem',)"
NENDELE,tema,"('pers ps3',)"
NENDES,see,"('dem',)"
NENDES,tema,"('pers ps3',)"
NENDEST,see,"('dem',)"
NENDEST,tema,"('pers ps3',)"
NEil,see,"('dem',)"
NEil,tema,"('pers ps3',)"
NIISUGUNE,niisugune,"('dem',)"
NIISUGUSEID,niisugune,"('dem',)"
NIISUGUSEKS,niisugune,"('dem',)"
NIISUGUSEL,niisugune,"('dem',)"
NIISUGUST,niisugune,"('dem',)"
NIISUGUSTEST,niisugune,"('dem',)"
NO2-te,NO2-sina,"('pers ps2',)"
NOD32-te,NOD32-sina,"('pers ps2',)"
NOOD,too,"('dem',)"
NS10-te,NS10-sina,"('pers ps2',)"
NS2-te,NS2-sina,"('pers ps2',)"
Naasuguste,naasugune,
Nad,tema,"('pers ps3',)"
Naine-muul,naine-muu,"('indef',)"
Nakarjakovi-taoline,Nakarjakovi-taoline,"('dem',)"
Nalja-meil,nalja-mina,"('pers ps1',)"
Napsteri-taoliste,napsteri-taoline,"('dem',)"
Narva-taolises,Narva-taoline,"('dem',)"
Nashi.su,Nashi.sina,"('pers ps2',)"
Nasseri-taoliste,Nasseri-taoline,"('dem',)"
Nee-me,Nee-mina,"('pers ps1',)"
Need,see,"('dem',)"
Needki,see,"('dem',)"
Needsamad,seesama,"('dem',)"
Needsamused,seesamune,"('dem',)"
Needsinased,seesinane,"('dem',)"
Needsinatsed,seesinane,"('dem',)"
Neeed,see,"('dem',)"
Neid,see,"('dem',)"
Neid,tema,"('pers ps3',)"
Neidki,see,"('dem',)"
Neidki,tema,"('pers ps3',)"
Neidsamaseid,seesamane,"('dem',)"
Neidsamu,seesama,"('dem',)"
Neidsinaseid,seesinane,"('dem',)"
Neidsinatseid,seesinane,"('dem',)"
Neiks,see,"('dem',)"
Neiks,tema,"('pers ps3',)"
Neil,see,"('dem',)"
Neil,tema,"('pers ps3',)"
Neile,see,"('dem',)"
Neile,tema,"('pers ps3',)"
Neilegi,see,"('dem',)"
Neilegi,tema,"('pers ps3',)"
Neilgi,see,"('dem',)"
Neilgi,tema,"('pers ps3',)"
Neilt,see,"('dem',)"
Neilt,tema,"('pers ps3',)"
Neis,see,"('dem',)"
Neis,tema,"('pers ps3',)"
Neiski,see,"('dem',)"
Neiski,tema,"('pers ps3',)"
Neisse,see,"('dem',)"
Neisse,tema,"('pers ps3',)"
Neissegi,see,"('dem',)"
Neissegi,tema,"('pers ps3',)"
Neist,see,"('dem',)"
Neist,tema,"('pers ps3',)"
Neistki,see,"('dem',)"
Neistki,tema,"('pers ps3',)"
Nemad,tema,"('pers ps3',)"
Nemadki,tema,"('pers ps3',)"
Nende,see,"('dem',)"
Nende,tema,"('pers ps3',)"
Nendega,see,"('dem',)"
Nendega,tema,"('pers ps3',)"
Nendegagi,see,"('dem',)"
Nendegagi,tema,"('pers ps3',)"
Nendegi,see,"('dem',)"
Nendegi,tema,"('pers ps3',)"
Nendeks,see,"('dem',)"
Nendeks,tema,"('pers ps3',)"
Nendel,see,"('dem',)"
Nendel,tema,"('pers ps3',)"
Nendele,see,"('dem',)"
Nendele,tema,"('pers ps3',)"
Nendelegi,see,"('dem',)"
Nendelegi,tema,"('pers ps3',)"
Nendelesamadele,seesama,"('dem',)"
Nendelgi,see,"('dem',)"
Nendelgi,tema,"('pers ps3',)"
Nendelsamadel,seesama,"('dem',)"
Nendelt,see,"('dem',)"
Nendelt,tema,"('pers ps3',)"
Nendena,see,"('dem',)"
Nendena,tema,"('pers ps3',)"
Nendeni,see,"('dem',)"
Nendeni,tema,"('pers ps3',)"
Nendes,see,"('dem',)"
Nendes,tema,"('pers ps3',)"
Nendes-,see,"('dem',)"
Nendes-,tema,"('pers ps3',)"
Nendesamade,seesama,"('dem',)"
Nendeski,see,"('dem',)"
Nendeski,tema,"('pers ps3',)"
Nendesse,see,"('dem',)"
Nendesse,tema,"('pers ps3',)"
Nendessegi,see,"('dem',)"
Nendessegi,tema,"('pers ps3',)"
Nendest,see,"('dem',)"
Nendest,tema,"('pers ps3',)"
Nendestki,see,"('dem',)"
Nendestki,tema,"('pers ps3',)"
Nendestsamadest,seesama,"('dem',)"
Nendesugune,nendesugune,"('dem',)"
Nendesugused,nendesugune,"('dem',)"
Nendesuguseid,nendesugune,"('dem',)"
Nendesuguste,nendesugune,"('dem',)"
Nendeta,see,"('dem',)"
Nendeta,tema,"('pers ps3',)"
Nendetagi,see,"('dem',)"
Nendetagi,tema,"('pers ps3',)"
Nendetaolised,nendetaoline,"('dem',)"
Nendetaoliste,nendetaoline,"('dem',)"
Nereuse-taolisi,Nereuse-taoline,"('dem',)"
Neverovski-taoliste,Neverovski-taoline,"('dem',)"
Niguli-taolised,Niguli-taoline,"('dem',)"
Nihuke,nihuke,"('dem',)"
Nihukene,nihukene,"('dem',)"
Nihukese,nihuke,"('dem',)"
Nihukese,nihukene,"('dem',)"
Nihukesed,nihuke,"('dem',)"
Nihukesed,nihukene,"('dem',)"
Nihukesel,nihuke,"('dem',)"
Nihukesel,nihukene,"('dem',)"
Nihukest,nihuke,"('dem',)"
Nihukest,nihukene,"('dem',)"
Nihukeste,nihuke,"('dem',)"
Nihukeste,nihukene,"('dem',)"
Nii-ilmatuma-palju,nii-ilmatuma-palju,"('indef',)"
Nii-palju,nii-palju,"('indef',)"
Niimitu,niimitu,"('indef',)"
Niipaljuke,niipaljuke,"('indef',)"
Niipaljukeseks,niipaljuke,"('indef',)"
Niipaljukest,niipaljuke,"('indef',)"
Niipaljukestki,niipaljuke,"('indef',)"
Niisamasugune,niisamasugune,"('dem',)"
Niisamasuguseks,niisamasugune,"('dem',)"
Niisugune,niisugune,"('dem',)"
Niisuguse,niisugune,"('dem',)"
Niisugused,niisugune,"('dem',)"
Niisugusega,niisugune,"('dem',)"
Niisuguseid,niisugune,"('dem',)"
Niisuguseidki,niisugune,"('dem',)"
Niisuguseks,niisugune,"('dem',)"
Niisugusel,niisugune,"('dem',)"
Niisugusele,niisugune,"('dem',)"
Niisuguselt,niisugune,"('dem',)"
Niisugusena,niisugune,"('dem',)"
Niisuguses,niisugune,"('dem',)"
Niisugusesse,niisugune,"('dem',)"
Niisugusest,niisugune,"('dem',)"
Niisugust,niisugune,"('dem',)"
Niisuguste,niisugune,"('dem',)"
Niisugustega,niisugune,"('dem',)"
Niisugusteks,niisugune,"('dem',)"
Niisugustel,niisugune,"('dem',)"
Niisugustele,niisugune,"('dem',)"
Niisugustelt,niisugune,"('dem',)"
Niisugustena,niisugune,"('dem',)"
Niisugusteni,niisugune,"('dem',)"
Niisugustes,niisugune,"('dem',)"
Niisugustesse,niisugune,"('dem',)"
Niisugustest,niisugune,"('dem',)"
Niisugustki,niisugune,"('dem',)"
Nikitini-taolist,Nikitini-taoline,"('dem',)"
Nikolajevi-taolist,Nikolajevi-taoline,"('dem',)"
Nisuke,nisuke,"('dem',)"
Nisukene,nisukene,"('dem',)"
Nisukesed,nisuke,"('dem',)"
Nisukesed,nisukene,"('dem',)"
Nisukest,nisuke,"('dem',)"
Nisukest,nisukene,"('dem',)"
Nixoni-taoline,Nixoni-taoline,"('dem',)"
Noid,too,"('dem',)"
